员工ID,姓名,事业部,城市,站点,岗位,员工状态,申购情况,申购订单状态
810,员工799,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
811,员工800,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
812,员工801,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
813,员工802,事业部12,城市13,站点21,岗位2,正式,未申购,
814,员工803,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
815,员工804,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
816,员工805,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
817,员工806,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
818,员工807,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
819,员工808,事业部10,城市8,站点26,岗位2,正式,已申购,已支付
820,员工809,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
821,员工810,事业部12,城市13,站点21,岗位2,正式,已申购,已支付
822,员工811,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
823,员工53,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
824,员工812,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
825,员工813,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
826,员工814,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
827,员工815,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
828,员工816,事业部4,城市3,站点5,岗位2,正式,未申购,
829,员工817,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
830,员工818,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
831,员工819,事业部8,城市14,站点32,岗位2,正式,已申购,已支付
832,员工820,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
833,员工821,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
834,员工822,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
835,员工823,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
836,员工824,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
837,员工825,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
838,员工826,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
839,员工827,事业部9,城市7,站点37,岗位2,正式,未申购,
840,员工828,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
841,员工829,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
842,员工830,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
843,员工831,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
844,员工832,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
845,员工833,事业部11,城市12,站点62,岗位2,正式,已申购,已支付
846,员工834,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
847,员工835,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
848,员工836,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
849,员工837,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
850,员工838,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
851,员工839,事业部11,城市12,站点62,岗位2,正式,已申购,已支付
852,员工840,事业部4,城市6,站点54,岗位2,正式,已申购,已支付
853,员工841,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
854,员工842,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
855,员工843,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
856,员工844,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
857,员工845,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
858,员工846,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
859,员工847,事业部6,城市9,站点38,岗位2,正式,未申购,
860,员工848,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
861,员工849,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
862,员工850,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
863,员工851,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
864,员工852,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
865,员工853,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
866,员工854,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
867,员工855,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
868,员工856,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
869,员工857,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
870,员工858,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
871,员工859,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
872,员工860,事业部6,城市4,站点61,岗位2,正式,未申购,
873,员工861,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
874,员工862,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
875,员工863,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
876,员工864,事业部3,城市2,站点28,岗位2,正式,未申购,
877,员工865,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
878,员工866,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
879,员工867,事业部14,城市2,站点41,岗位2,正式,未申购,
880,员工868,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
881,员工869,事业部6,城市4,站点61,岗位2,正式,未申购,
882,员工870,事业部3,城市2,站点28,岗位2,正式,未申购,
883,员工871,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
884,员工872,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
885,员工873,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
886,员工874,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
887,员工875,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
888,员工876,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
889,员工877,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
890,员工878,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
891,员工879,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
892,员工880,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
893,员工171,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
894,员工881,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
895,员工411,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
896,员工882,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
897,员工883,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
898,员工884,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
899,员工885,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
900,员工886,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
901,员工887,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
902,员工888,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
903,员工889,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
904,员工890,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
905,员工891,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
906,员工892,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
907,员工893,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
908,员工894,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
909,员工895,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
910,员工896,事业部11,城市12,站点62,岗位2,正式,已申购,已支付
911,员工897,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
912,员工898,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
913,员工899,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
914,员工900,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
915,员工901,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
916,员工902,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
917,员工903,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
918,员工904,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
919,员工905,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
920,员工906,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
921,员工907,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
922,员工908,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
923,员工909,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
924,员工910,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
925,员工911,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
926,员工912,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
927,员工913,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
928,员工914,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
929,员工915,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
930,员工916,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
931,员工917,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
932,员工918,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
933,员工919,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
934,员工920,事业部12,城市13,站点56,岗位2,正式,已申购,已支付
935,员工921,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
936,员工922,事业部11,城市12,站点62,岗位2,正式,已申购,已支付
937,员工923,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
938,员工924,事业部11,城市12,站点62,岗位2,正式,已申购,已支付
939,员工925,事业部10,城市8,站点42,岗位2,正式,未申购,
940,员工926,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
941,员工927,事业部14,城市2,站点46,岗位2,正式,已申购,已支付
942,员工928,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
943,员工929,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
944,员工930,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
945,员工931,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
946,员工932,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
947,员工933,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
948,员工934,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
949,员工935,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
950,员工936,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
951,员工937,事业部1,城市1,站点40,岗位2,正式,已申购,已支付
952,员工938,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
953,员工939,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
954,员工940,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
955,员工941,事业部6,城市9,站点38,岗位2,正式,未申购,
956,员工942,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
957,员工943,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
958,员工944,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
959,员工945,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
960,员工946,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
961,员工947,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
962,员工948,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
963,员工949,事业部11,城市12,站点62,岗位2,正式,已申购,已支付
964,员工950,事业部14,城市2,站点46,岗位2,正式,已申购,已支付
965,员工951,事业部10,城市17,站点63,岗位2,正式,已申购,已支付
966,员工952,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
967,员工953,事业部10,城市17,站点63,岗位2,正式,已申购,已支付
968,员工954,事业部10,城市17,站点63,岗位2,正式,已申购,已支付
969,员工955,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
970,员工956,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
971,员工957,事业部1,城市1,站点40,岗位2,正式,已申购,已支付
972,员工958,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
973,员工959,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
974,员工960,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
975,员工961,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
976,员工962,事业部14,城市2,站点46,岗位2,正式,已申购,已支付
977,员工963,事业部14,城市2,站点46,岗位2,正式,已申购,已支付
978,员工964,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
979,员工965,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
980,员工966,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
981,员工967,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
982,员工968,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
983,员工969,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
984,员工970,事业部1,城市1,站点40,岗位2,正式,已申购,已支付
985,员工971,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
986,员工972,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
987,员工973,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
988,员工974,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
989,员工975,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
990,员工976,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
991,员工977,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
992,员工978,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
993,员工979,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
994,员工980,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
995,员工981,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
996,员工982,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
997,员工983,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
998,员工984,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
999,员工985,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
1000,员工986,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
1001,员工987,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
1002,员工988,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
1003,员工989,事业部10,城市17,站点63,岗位2,正式,已申购,已支付
1004,员工990,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
1005,员工991,事业部11,城市12,站点62,岗位2,正式,已申购,已支付
1006,员工992,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
1007,员工993,事业部14,城市2,站点46,岗位2,正式,已申购,已支付
1008,员工994,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
1009,员工995,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
1010,员工996,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
1011,员工997,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
1012,员工998,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
1013,员工999,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
1014,员工1000,事业部10,城市8,站点26,岗位2,正式,已申购,已支付
1015,员工1001,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
1016,员工1002,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
1017,员工1003,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
1018,员工1004,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
1019,员工1005,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
1020,员工1006,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
1021,员工1007,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
1022,员工1008,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
1023,员工1009,事业部13,城市15,站点23,岗位2,正式,已申购,已支付
1024,员工1010,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
1025,员工1011,事业部6,城市4,站点61,岗位2,正式,未申购,
1026,员工1012,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
1027,员工1013,事业部1,城市1,站点40,岗位2,正式,未申购,
1028,员工1014,事业部14,城市2,站点46,岗位2,正式,已申购,已支付
1029,员工1015,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
1030,员工1016,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
1031,员工1017,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
1032,员工1018,事业部2,城市15,站点25,岗位2,正式,已申购,已支付
1033,员工1019,事业部1,城市1,站点40,岗位2,正式,已申购,已支付
1034,员工1020,事业部12,城市13,站点21,岗位2,正式,已申购,已支付
1035,员工1021,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
1036,员工1022,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
1037,员工1023,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
1038,员工1024,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
1039,员工1025,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
1040,员工1026,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
1041,员工1027,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
1042,员工1028,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
1043,员工1029,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
1044,员工1030,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
1045,员工1031,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
1046,员工482,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
1047,员工1032,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
1048,员工1033,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
1049,员工1034,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
1050,员工1035,事业部10,城市8,站点26,岗位2,正式,已申购,已支付
1051,员工1036,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
1052,员工1037,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
1053,员工1038,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
1054,员工1039,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
1055,员工1040,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
1056,员工1041,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
1057,员工1042,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
1058,员工1043,事业部8,城市10,站点55,岗位2,正式,已申购,已支付
1059,员工1044,事业部8,城市10,站点55,岗位2,正式,未申购,
1060,员工1045,事业部8,城市10,站点55,岗位2,正式,未申购,
1061,员工1046,事业部8,城市10,站点55,岗位2,正式,未申购,
